Time Taken (QNS/Minutes),Question Difficulty,Topic Difficulty,Score,Skill Level
0.20303505836113628,8.7,3.5,95.6%,Advanced
0.21435671552564925,9.1,9.6,15.850000000000009%,Beginner
0.24895310015546868,6.9,2.0,59.949999999999996%,Beginner
0.19755630281638523,1.1,3.4,100%,Advanced
0.24625740948370092,4.5,9.7,91.6%,Advanced
0.4291775932809926,9.7,3.5,40.6%,Beginner
0.07788317654784367,5.3,6.8,95.8%,Advanced
0.34800437836107284,5.8,6.9,42.85%,Beginner
0.10932794555691423,6.9,4.1,98.0%,Advanced
0.4350057271500396,8.3,7.7,28.0%,Beginner
0.19236268690722932,6.2,6.4,94.8%,Advanced
0.1970477338532467,8.5,3.1,96.8%,Advanced
0.15894414908267804,1.9,1.6,100%,Advanced
0.17472568311590242,1.3,7.7,100%,Advanced
0.1107414841524728,9.7,6.0,88.6%,Advanced
0.15516767985045687,3.2,10.0,93.6%,Advanced
0.09089375243083825,4.1,2.7,100%,Advanced
0.16418345668553497,3.2,1.8,77.5%,Beginner
0.1265087093339126,2.5,5.4,64.44999999999999%,Beginner
0.08675318321463106,3.9,4.2,100%,Advanced
0.2285284772833139,2.2,5.5,83.05%,Intermediate
0.3998526141445185,9.4,3.9,40.15%,Beginner
0.22733756721699272,2.1,4.4,70.75%,Beginner
0.29034136433652474,8.0,6.8,33.39999999999999%,Beginner
0.2522965524212335,4.9,6.0,98.2%,Advanced
0.23584354646366165,9.0,8.7,20.35000000000001%,Beginner
0.15454689178467862,6.6,2.1,60.85%,Beginner
0.10619647157222578,5.3,9.0,91.4%,Advanced
0.44560746180051103,8.9,3.1,46.0%,Beginner
0.10205480975955351,8.0,3.7,69.05000000000001%,Intermediate
0.12541259481749645,5.9,9.9,28.89999999999999%,Beginner
0.21263700425492843,3.1,3.4,100%,Advanced
0.3426481733652735,4.7,1.4,72.55%,Beginner
0.21494037295367124,6.8,4.2,50.5%,Beginner
0.4446566219254616,6.0,2.7,60.85%,Beginner
0.18364986645547307,9.8,6.4,87.6%,Advanced
0.39833006927900744,1.2,7.0,63.1%,Beginner
0.37905197610697194,8.0,5.6,38.800000000000004%,Beginner
0.32636233987101987,6.3,7.8,36.550000000000004%,Beginner
0.2942999952881433,9.7,2.7,44.2%,Beginner
0.038012854145787034,4.0,2.0,100%,Advanced
0.22424905287078178,4.0,8.7,42.85%,Beginner
0.11599566477383379,7.5,8.5,28.0%,Beginner
0.16151426121029766,4.4,9.8,91.6%,Advanced
0.2105317120808243,6.4,1.8,100%,Advanced
0.13235773563900644,2.5,8.2,98.6%,Advanced
0.39150135502746536,6.6,5.0,47.800000000000004%,Beginner
0.3416800428021872,8.4,4.4,42.4%,Beginner
0.2863925601791794,9.8,1.9,47.349999999999994%,Beginner
0.24485479176715047,3.4,9.5,94.2%,Advanced
0.1427206870518014,8.4,3.7,95.8%,Advanced
0.4089102754196031,6.6,3.0,56.800000000000004%,Beginner
0.14608246119132096,5.4,1.2,100%,Advanced
0.14807287903716065,7.9,7.0,32.95%,Beginner
0.4339162450480113,6.3,9.3,29.799999999999997%,Beginner
0.3466876460989118,4.4,3.9,62.65%,Beginner
0.44264979022083933,1.6,7.0,61.300000000000004%,Beginner
0.16830009155476439,7.6,3.3,50.95%,Beginner
0.296173263288191,5.0,7.1,45.550000000000004%,Beginner
0.3819465783423414,8.6,2.6,49.6%,Beginner
0.3405701158439415,9.2,1.8,50.5%,Beginner
0.2293639569769705,8.2,2.0,74.30000000000001%,Intermediate
0.2122284319126832,8.5,4.3,42.4%,Beginner
0.13037086237944365,5.7,6.2,96.2%,Advanced
0.22365895706163683,9.9,2.3,95.6%,Advanced
0.24731688872191682,5.4,1.4,69.4%,Beginner
0.18681059370446002,3.9,3.8,100%,Advanced
0.2523818239477049,3.8,7.8,96.8%,Advanced
0.19565083452193713,3.9,2.4,100%,Advanced
0.4109552503941606,7.4,5.5,41.949999999999996%,Beginner
0.15152325923637172,7.2,1.0,63.1%,Beginner
0.16087584160679666,5.3,1.5,100%,Advanced
0.22776934038796637,3.9,7.5,97.2%,Advanced
0.3447857972567203,8.2,9.4,20.799999999999997%,Beginner
0.19652263653792598,2.8,8.7,69.75%,Intermediate
0.24272294686089632,8.2,9.6,47.70000000000001%,Intermediate
0.10250654968986435,4.2,2.0,100%,Advanced
0.19274565872311664,1.5,4.6,72.55%,Beginner
0.2436070982375618,2.3,9.4,47.35%,Beginner
0.35236306260213457,6.0,3.0,78.5%,Intermediate
0.1884331499114884,2.3,7.1,100%,Advanced
0.18714018002633462,3.0,5.7,60.85%,Beginner
0.25020986200052087,5.8,5.0,51.4%,Beginner
0.13779473612097812,8.7,3.4,95.8%,Advanced
0.4143997948878688,9.2,3.0,45.1%,Beginner
0.13001233878991028,9.2,5.8,90.0%,Advanced
0.1805788914045251,2.3,2.2,79.75%,Beginner
0.22069597028026028,3.4,4.4,64.9%,Beginner
0.28702381092281093,6.8,4.8,47.800000000000004%,Beginner
0.28274723588863865,7.7,5.7,39.699999999999996%,Beginner
0.2814132391542946,1.6,5.1,69.85%,Beginner
0.07132210699473712,6.9,3.4,99.4%,Advanced
0.15622375390261425,1.3,9.2,99.0%,Advanced
0.1207470544258491,4.7,9.7,91.2%,Advanced
0.2077744560717747,7.5,1.9,100%,Advanced
0.39735041468938176,5.3,4.8,54.550000000000004%,Beginner
0.39253629312321553,8.4,5.2,38.8%,Beginner
0.11327475129599927,4.5,6.5,98.0%,Advanced
0.13372005788904862,6.4,4.7,50.05%,Beginner
0.08919501747880673,4.7,5.0,100%,Advanced
0.10419560882068502,1.4,5.5,68.95%,Beginner
0.17596506740486786,5.5,5.9,97.2%,Advanced
0.36971148856114155,5.2,1.7,68.95%,Beginner
0.22008123439145885,3.5,1.3,100%,Advanced
0.07684172956711564,3.4,7.1,99.0%,Advanced
0.11961269094941884,9.8,2.7,95.0%,Advanced
0.16909182790911423,8.7,3.9,94.8%,Advanced
0.15229349582179336,4.7,1.9,100%,Advanced
0.11623750228429315,8.9,9.2,83.8%,Advanced
0.1734732466954614,6.4,9.2,88.8%,Advanced
0.1404477169187549,2.9,9.2,95.8%,Advanced
0.08753180394225069,5.8,3.4,100%,Advanced
0.16962902327740148,9.8,2.8,43.3%,Beginner
0.14044646660469415,5.6,3.2,100%,Advanced
0.06758444967653718,7.8,5.7,93.0%,Advanced
0.24080867607434187,8.1,6.1,91.6%,Advanced
0.22734486145958635,6.3,10.0,87.4%,Advanced
0.07825540203304904,7.2,4.7,96.2%,Advanced
0.3031039118506134,7.0,2.2,58.6%,Beginner
0.08806035005428806,9.9,2.1,96.0%,Advanced
0.0865577897126457,3.2,2.0,100%,Advanced
0.18065218775426445,7.6,3.4,98.0%,Advanced
0.04746871220349698,1.6,3.5,100%,Advanced
0.12003010182647486,1.1,2.1,98.8%,Intermediate
0.10412685880166497,2.2,4.9,100%,Advanced
0.14622625119801586,4.8,4.8,100%,Advanced
0.1054326685731735,7.2,7.9,32.05%,Beginner
0.20916128325810307,4.2,2.6,100%,Advanced
0.11728789582508525,9.0,6.1,32.05%,Beginner
0.0864413232856217,4.2,6.3,99.0%,Advanced
0.19039934246452755,2.0,3.6,100%,Advanced
0.06359836078510056,7.9,4.4,95.4%,Advanced
0.43345696202876777,9.3,6.9,27.099999999999994%,Beginner
0.09668498863821445,2.5,6.4,100%,Advanced
0.09223213613213734,3.8,8.4,45.1%,Beginner
0.07999062899335257,8.2,9.0,85.6%,Advanced
0.19868012088599774,1.7,2.9,79.3%,Beginner
0.06340635970984401,2.4,9.1,97.0%,Advanced
0.26667335901390277,8.5,5.1,38.800000000000004%,Beginner
0.18321880677430255,10.0,6.4,26.200000000000003%,Beginner
0.0852066656998737,7.0,3.9,98.2%,Advanced
0.44194940405387173,4.7,2.0,69.85%,Beginner
0.45127011727969596,6.1,5.9,46.0%,Beginner
0.08040118389353498,1.7,7.7,100%,Advanced
0.28325501059679625,9.4,1.8,49.599999999999994%,Beginner
0.17276298574722906,9.9,9.5,81.2%,Advanced
0.22543224116145832,1.8,1.0,100%,Intermediate
0.05786463811345411,5.8,2.4,100%,Advanced
0.32291495788774527,7.4,1.5,59.949999999999996%,Beginner
0.1897632495006955,7.6,2.4,100%,Advanced
0.11056411562153215,7.9,9.5,85.2%,Advanced
0.15143679727940096,4.6,8.3,41.949999999999996%,Beginner
0.07820456515107238,6.8,2.0,100%,Advanced
0.15550637139569545,3.9,2.7,100%,Advanced
0.13204467877135806,8.8,9.5,17.64999999999999%,Beginner
0.2133676018076735,9.3,7.5,86.4%,Advanced
0.19116797082417064,1.5,3.4,77.95%,Beginner
0.3330086367162492,6.5,9.0,30.25%,Beginner
0.28562137003460775,9.8,7.3,23.049999999999997%,Beginner
0.2618034745700505,3.3,9.3,94.8%,Advanced
0.37253736275861477,2.8,1.0,82.9%,Beginner
0.4424321249435566,8.6,7.8,26.200000000000003%,Beginner
0.2603033877253661,2.1,9.9,68.0%,Intermediate
