Question Difficulty,Topic Difficulty,Score,Skill Level,Skill_Level_encoded,Time Taken (QNS/Seconds)
6.5,6.0,95.0,Advanced,2,10.0152
9.9,6.0,88.2,Advanced,2,10.8312
4.5,5.1,100.0,Advanced,2,4.9657
6.5,8.1,51.6,Beginner,0,11.6617
9.6,3.5,57.6,Beginner,0,31.1858
9.8,8.0,56.599999999999994,Intermediate,1,14.7766
1.6,7.5,82.7,Intermediate,1,14.7124
4.2,9.7,68.30000000000001,Intermediate,1,17.6011
2.3,7.8,69.6,Beginner,0,30.8314
2.3,8.2,68.0,Beginner,0,27.257
9.5,7.3,86.4,Advanced,2,3.5399
6.7,4.7,75.8,Intermediate,1,10.7215
8.3,8.1,87.2,Advanced,2,1.5651
5.1,9.5,90.8,Advanced,2,3.3764
8.6,2.6,65.2,Beginner,0,36.9612
3.6,6.8,68.4,Beginner,0,18.0621
4.0,3.6,100.0,Advanced,2,5.1391
5.1,4.7,80.6,Intermediate,1,15.6289
9.4,4.9,91.4,Advanced,2,3.5167
1.7,5.1,89.6,Intermediate,1,15.6209
4.0,6.9,77.3,Intermediate,1,17.1165
8.4,1.3,100.0,Advanced,2,2.6925
3.3,2.4,92.9,Intermediate,1,19.8634
1.4,5.0,90.8,Intermediate,1,20.8772
4.6,6.9,75.5,Intermediate,1,11.0959
6.0,5.8,74.6,Intermediate,1,8.7754
2.2,8.9,65.6,Beginner,0,30.5658
8.4,4.7,57.599999999999994,Beginner,0,37.0825
2.3,6.1,76.4,Beginner,0,24.4945
7.3,2.3,71.6,Beginner,0,24.8668
4.9,7.3,73.4,Intermediate,1,15.6028
4.2,6.3,68.0,Beginner,0,19.1949
9.7,8.8,54.5,Intermediate,1,13.1298
3.5,9.4,58.4,Beginner,0,35.4283
6.5,1.4,86.3,Intermediate,1,8.0222
4.0,2.5,90.5,Intermediate,1,6.2645
1.2,6.9,85.7,Intermediate,1,8.1934
3.1,8.6,63.2,Beginner,0,21.6117
3.9,8.7,94.8,Advanced,2,3.2229
4.3,2.5,100.0,Advanced,2,10.8285
1.6,9.2,77.6,Intermediate,1,11.6985
9.3,6.6,88.2,Advanced,2,7.9244
4.2,8.9,93.8,Advanced,2,5.1734
4.9,5.7,78.19999999999999,Intermediate,1,8.1158
2.8,7.3,69.6,Beginner,0,20.5854
5.6,6.7,73.1,Intermediate,1,11.7108
1.3,5.4,89.9,Intermediate,1,16.1152
9.0,9.6,54.199999999999996,Intermediate,1,16.1277
1.0,9.9,66.4,Beginner,0,37.8073
2.3,6.1,76.4,Beginner,0,29.8932
8.0,1.0,83.0,Intermediate,1,12.1426
9.5,3.5,94.0,Advanced,2,9.8446
6.1,1.0,88.7,Intermediate,1,19.2504
1.2,2.6,94.8,Beginner,0,20.5394
6.0,7.9,92.2,Advanced,2,8.0372
6.9,8.5,48.4,Beginner,0,31.3396
1.8,8.3,69.6,Beginner,0,37.3148
7.2,7.1,91.4,Advanced,2,4.7749
5.8,7.9,68.9,Intermediate,1,7.1798
9.6,2.2,74.6,Intermediate,1,17.3852
1.0,3.7,95.9,Intermediate,1,8.0338
8.4,6.1,52.0,Beginner,0,19.8619
4.5,2.8,88.1,Intermediate,1,12.5327
7.0,1.7,83.9,Intermediate,1,14.2578
3.7,5.0,100.0,Advanced,2,8.16
7.6,2.3,80.30000000000001,Intermediate,1,9.0982
9.6,6.3,88.2,Advanced,2,5.3502
6.1,7.3,93.2,Advanced,2,3.8829
5.7,3.6,100.0,Advanced,2,9.2257
9.9,7.7,57.199999999999996,Intermediate,1,10.9129
9.8,2.8,72.19999999999999,Intermediate,1,15.5808
4.8,6.3,76.7,Intermediate,1,20.0689
9.4,2.6,62.0,Beginner,0,20.3712
6.1,5.5,75.2,Intermediate,1,6.5737
4.7,3.3,86.0,Intermediate,1,12.78
1.3,9.7,77.0,Intermediate,1,7.3799
4.9,9.0,54.4,Beginner,0,20.5517
2.5,2.6,94.7,Intermediate,1,12.9884
4.7,6.6,64.8,Beginner,0,26.3929
4.2,7.3,75.5,Intermediate,1,18.473
2.3,8.9,76.4,Intermediate,1,7.3457
1.8,9.1,98.2,Advanced,2,10.1005
5.2,9.4,66.19999999999999,Intermediate,1,17.287
5.6,2.6,77.2,Beginner,0,23.1371
6.9,2.0,83.3,Intermediate,1,10.977
5.0,9.1,91.8,Advanced,2,4.5991
9.5,8.4,56.300000000000004,Intermediate,1,14.551
7.8,9.1,59.300000000000004,Intermediate,1,17.0627
6.3,2.7,100.0,Advanced,2,7.3029
4.1,2.4,84.0,Beginner,0,16.4071
6.8,9.8,86.8,Advanced,2,10.3064
8.5,5.0,69.5,Intermediate,1,18.4261
3.6,1.2,95.6,Intermediate,1,19.4796
6.5,7.9,91.2,Advanced,2,4.028
5.8,2.3,85.7,Intermediate,1,15.2216
2.0,6.1,77.6,Beginner,0,17.3793
