Question Difficulty,Topic Difficulty,Score,Skill Level,Skill_Level_encoded,Time Taken (QNS/Seconds)
8.7,3.5,95.6,Advanced,2,12.1821
9.1,9.6,15.850000000000009,Beginner,0,12.8614
6.9,2.0,59.949999999999996,Beginner,0,14.9372
1.1,3.4,100.0,Advanced,2,11.8534
4.5,9.7,91.6,Advanced,2,14.7754
9.7,3.5,40.6,Beginner,0,25.7507
5.3,6.8,95.8,Advanced,2,4.673
5.8,6.9,42.85,Beginner,0,20.8803
6.9,4.1,98.0,Advanced,2,6.5597
8.3,7.7,28.0,Beginner,0,26.1003
6.2,6.4,94.8,Advanced,2,11.5418
8.5,3.1,96.8,Advanced,2,11.8229
1.9,1.6,100.0,Advanced,2,9.5366
1.3,7.7,100.0,Advanced,2,10.4835
9.7,6.0,88.6,Advanced,2,6.6445
3.2,10.0,93.6,Advanced,2,9.3101
4.1,2.7,100.0,Advanced,2,5.4536
3.2,1.8,77.5,Beginner,0,9.851
2.5,5.4,64.44999999999999,Beginner,0,7.5905
3.9,4.2,100.0,Advanced,2,5.2052
2.2,5.5,83.05,Intermediate,1,13.7117
9.4,3.9,40.15,Beginner,0,23.9912
2.1,4.4,70.75,Beginner,0,13.6403
8.0,6.8,33.39999999999999,Beginner,0,17.4205
4.9,6.0,98.2,Advanced,2,15.1378
9.0,8.7,20.35000000000001,Beginner,0,14.1506
6.6,2.1,60.85,Beginner,0,9.2728
5.3,9.0,91.4,Advanced,2,6.3718
8.9,3.1,46.0,Beginner,0,26.7364
8.0,3.7,69.05000000000001,Intermediate,1,6.1233
5.9,9.9,28.89999999999999,Beginner,0,7.5248
3.1,3.4,100.0,Advanced,2,12.7582
4.7,1.4,72.55,Beginner,0,20.5589
6.8,4.2,50.5,Beginner,0,12.8964
6.0,2.7,60.85,Beginner,0,26.6794
9.8,6.4,87.6,Advanced,2,11.019
1.2,7.0,63.1,Beginner,0,23.8998
8.0,5.6,38.800000000000004,Beginner,0,22.7431
6.3,7.8,36.550000000000004,Beginner,0,19.5817
9.7,2.7,44.2,Beginner,0,17.658
4.0,2.0,100.0,Advanced,2,2.2808
4.0,8.7,42.85,Beginner,0,13.4549
7.5,8.5,28.0,Beginner,0,6.9597
4.4,9.8,91.6,Advanced,2,9.6909
6.4,1.8,100.0,Advanced,2,12.6319
2.5,8.2,98.6,Advanced,2,7.9415
6.6,5.0,47.800000000000004,Beginner,0,23.4901
8.4,4.4,42.4,Beginner,0,20.5008
9.8,1.9,47.349999999999994,Beginner,0,17.1836
3.4,9.5,94.2,Advanced,2,14.6913
8.4,3.7,95.8,Advanced,2,8.5632
6.6,3.0,56.800000000000004,Beginner,0,24.5346
5.4,1.2,100.0,Advanced,2,8.7649
7.9,7.0,32.95,Beginner,0,8.8844
6.3,9.3,29.799999999999997,Beginner,0,26.035
4.4,3.9,62.65,Beginner,0,20.8013
1.6,7.0,61.300000000000004,Beginner,0,26.559
7.6,3.3,50.95,Beginner,0,10.098
5.0,7.1,45.550000000000004,Beginner,0,17.7704
8.6,2.6,49.6,Beginner,0,22.9168
9.2,1.8,50.5,Beginner,0,20.4342
8.2,2.0,74.30000000000001,Intermediate,1,13.7618
8.5,4.3,42.4,Beginner,0,12.7337
5.7,6.2,96.2,Advanced,2,7.8223
9.9,2.3,95.6,Advanced,2,13.4195
5.4,1.4,69.4,Beginner,0,14.839
3.9,3.8,100.0,Advanced,2,11.2086
3.8,7.8,96.8,Advanced,2,15.1429
3.9,2.4,100.0,Advanced,2,11.7391
7.4,5.5,41.949999999999996,Beginner,0,24.6573
7.2,1.0,63.1,Beginner,0,9.0914
5.3,1.5,100.0,Advanced,2,9.6526
3.9,7.5,97.2,Advanced,2,13.6662
8.2,9.4,20.799999999999997,Beginner,0,20.6871
2.8,8.7,69.75,Intermediate,1,11.7914
8.2,9.6,47.70000000000001,Intermediate,1,14.5634
4.2,2.0,100.0,Advanced,2,6.1504
1.5,4.6,72.55,Beginner,0,11.5647
2.3,9.4,47.35,Beginner,0,14.6164
6.0,3.0,78.5,Intermediate,1,21.1418
2.3,7.1,100.0,Advanced,2,11.306
3.0,5.7,60.85,Beginner,0,11.2284
5.8,5.0,51.4,Beginner,0,15.0126
8.7,3.4,95.8,Advanced,2,8.2677
9.2,3.0,45.1,Beginner,0,24.864
9.2,5.8,90.0,Advanced,2,7.8007
2.3,2.2,79.75,Beginner,0,10.8347
3.4,4.4,64.9,Beginner,0,13.2418
6.8,4.8,47.800000000000004,Beginner,0,17.2214
7.7,5.7,39.699999999999996,Beginner,0,16.9648
1.6,5.1,69.85,Beginner,0,16.8848
6.9,3.4,99.4,Advanced,2,4.2793
1.3,9.2,99.0,Advanced,2,9.3734
4.7,9.7,91.2,Advanced,2,7.2448
7.5,1.9,100.0,Advanced,2,12.4665
5.3,4.8,54.550000000000004,Beginner,0,23.841
8.4,5.2,38.8,Beginner,0,23.5522
4.5,6.5,98.0,Advanced,2,6.7965
6.4,4.7,50.05,Beginner,0,8.0232
4.7,5.0,100.0,Advanced,2,5.3517
1.4,5.5,68.95,Beginner,0,6.2517
5.5,5.9,97.2,Advanced,2,10.5579
5.2,1.7,68.95,Beginner,0,22.1827
3.5,1.3,100.0,Advanced,2,13.2049
3.4,7.1,99.0,Advanced,2,4.6105
9.8,2.7,95.0,Advanced,2,7.1768
8.7,3.9,94.8,Advanced,2,10.1455
4.7,1.9,100.0,Advanced,2,9.1376
8.9,9.2,83.8,Advanced,2,6.9743
6.4,9.2,88.8,Advanced,2,10.4084
2.9,9.2,95.8,Advanced,2,8.4269
5.8,3.4,100.0,Advanced,2,5.2519
9.8,2.8,43.3,Beginner,0,10.1777
5.6,3.2,100.0,Advanced,2,8.4268
7.8,5.7,93.0,Advanced,2,4.0551
8.1,6.1,91.6,Advanced,2,14.4485
6.3,10.0,87.4,Advanced,2,13.6407
7.2,4.7,96.2,Advanced,2,4.6953
7.0,2.2,58.6,Beginner,0,18.1862
9.9,2.1,96.0,Advanced,2,5.2836
3.2,2.0,100.0,Advanced,2,5.1935
7.6,3.4,98.0,Advanced,2,10.8391
1.6,3.5,100.0,Advanced,2,2.8481
1.1,2.1,98.8,Intermediate,1,7.2018
2.2,4.9,100.0,Advanced,2,6.2476
4.8,4.8,100.0,Advanced,2,8.7736
7.2,7.9,32.05,Beginner,0,6.326
4.2,2.6,100.0,Advanced,2,12.5497
9.0,6.1,32.05,Beginner,0,7.0373
4.2,6.3,99.0,Advanced,2,5.1865
2.0,3.6,100.0,Advanced,2,11.424
7.9,4.4,95.4,Advanced,2,3.8159
9.3,6.9,27.099999999999994,Beginner,0,26.0074
2.5,6.4,100.0,Advanced,2,5.8011
3.8,8.4,45.1,Beginner,0,5.5339
8.2,9.0,85.6,Advanced,2,4.7994
1.7,2.9,79.3,Beginner,0,11.9208
2.4,9.1,97.0,Advanced,2,3.8044
8.5,5.1,38.800000000000004,Beginner,0,16.0004
10.0,6.4,26.200000000000003,Beginner,0,10.9931
7.0,3.9,98.2,Advanced,2,5.1124
4.7,2.0,69.85,Beginner,0,26.517
6.1,5.9,46.0,Beginner,0,27.0762
1.7,7.7,100.0,Advanced,2,4.8241
9.4,1.8,49.599999999999994,Beginner,0,16.9953
9.9,9.5,81.2,Advanced,2,10.3658
1.8,1.0,100.0,Intermediate,1,13.5259
5.8,2.4,100.0,Advanced,2,3.4719
7.4,1.5,59.949999999999996,Beginner,0,19.3749
7.6,2.4,100.0,Advanced,2,11.3858
7.9,9.5,85.2,Advanced,2,6.6338
4.6,8.3,41.949999999999996,Beginner,0,9.0862
6.8,2.0,100.0,Advanced,2,4.6923
3.9,2.7,100.0,Advanced,2,9.3304
8.8,9.5,17.64999999999999,Beginner,0,7.9227
9.3,7.5,86.4,Advanced,2,12.8021
1.5,3.4,77.95,Beginner,0,11.4701
6.5,9.0,30.25,Beginner,0,19.9805
9.8,7.3,23.049999999999997,Beginner,0,17.1373
3.3,9.3,94.8,Advanced,2,15.7082
2.8,1.0,82.9,Beginner,0,22.3522
8.6,7.8,26.200000000000003,Beginner,0,26.5459
2.1,9.9,68.0,Intermediate,1,15.6182
7.4,7.4,90.4,Advanced,2,8.899
5.0,5.9,71.85,Intermediate,1,13.287
2.4,1.3,83.35,Beginner,0,12.8004
7.7,8.7,87.2,Advanced,2,2.5705
6.5,3.8,53.65,Beginner,0,26.8036
5.8,8.2,92.0,Advanced,2,12.4529
7.7,1.7,57.699999999999996,Beginner,0,23.125
9.1,8.9,19.0,Beginner,0,16.9319
4.8,5.2,100.0,Advanced,2,12.2566
